Frame,Class,x,y,Width,Height,Confidence
1254,0,0.216797,0.4625,0.0992187,0.782407,0.777722
1255,0,0.217187,0.46713,0.0989583,0.791667,0.877583
1256,0,0.217578,0.46713,0.0986979,0.793519,0.912923
1257,0,0.217448,0.46713,0.0979167,0.789815,0.92518
1258,0,0.216797,0.46713,0.0966146,0.791667,0.935016
1259,0,0.216667,0.46713,0.0963542,0.79537,0.933307
1260,0,0.216797,0.466667,0.0960938,0.798148,0.937689
1261,0,0.216927,0.467593,0.0963542,0.8,0.940248
1262,0,0.217057,0.467593,0.0966146,0.8,0.945126
1263,0,0.216927,0.466667,0.096875,0.8,0.94261
1264,0,0.217187,0.466667,0.0973958,0.8,0.945318
1265,0,0.217187,0.466667,0.0979167,0.8,0.949714
1266,0,0.217448,0.46713,0.0984375,0.799074,0.949686
1267,0,0.217708,0.467593,0.0979167,0.8,0.950798
1268,0,0.217708,0.468519,0.0973958,0.803704,0.951676
1269,0,0.217969,0.467593,0.096875,0.8,0.950654
1270,0,0.217969,0.468056,0.0963542,0.799074,0.950015
1271,0,0.218099,0.468981,0.0960938,0.799074,0.94651
1272,0,0.218359,0.469907,0.0960938,0.800926,0.943814
1273,0,0.218359,0.469907,0.0960938,0.799074,0.922182
1274,0,0.21862,0.47037,0.0960938,0.798148,0.920626
1275,0,0.21875,0.469907,0.0963542,0.79537,0.912552
1276,0,0.219531,0.468519,0.0947917,0.798148,0.905437
1277,0,0.219531,0.468519,0.0942708,0.8,0.916104
1278,0,0.219792,0.468519,0.09375,0.8,0.912761
1279,0,0.220052,0.467593,0.0932292,0.796296,0.915462
1280,0,0.220313,0.46713,0.0932292,0.79537,0.91987
1281,0,0.220703,0.46713,0.0924479,0.79537,0.920861
1282,0,0.221094,0.466667,0.0927083,0.792593,0.920435
1283,0,0.221094,0.466667,0.0932292,0.792593,0.900574
1284,0,0.221094,0.467593,0.0932292,0.794444,0.894248
1285,0,0.220833,0.467593,0.0942708,0.796296,0.890117
1286,0,0.220703,0.466204,0.0945313,0.79537,0.889073
1287,0,0.220313,0.466204,0.0953125,0.791667,0.878653
1288,0,0.220052,0.465741,0.0953125,0.790741,0.853611
1289,0,0.219661,0.463889,0.0955729,0.788889,0.830635
1290,0,0.219661,0.462963,0.0955729,0.788889,0.850037
1291,0,0.219922,0.463426,0.0955729,0.787963,0.847035
1292,0,0.220052,0.463889,0.0953125,0.787037,0.84146
1293,0,0.220052,0.464815,0.0953125,0.790741,0.842826
1294,0,0.220182,0.464352,0.0950521,0.791667,0.861653
1295,0,0.220052,0.464352,0.0953125,0.789815,0.861223
1296,0,0.219922,0.464815,0.0950521,0.790741,0.859626
1297,0,0.219922,0.464815,0.0955729,0.792593,0.843723
1298,0,0.219792,0.465741,0.0953125,0.796296,0.872291
1299,0,0.219922,0.465741,0.0950521,0.796296,0.894807
1300,0,0.219922,0.465741,0.0950521,0.796296,0.890082
1301,0,0.219661,0.466667,0.0955729,0.796296,0.885114
1302,0,0.219531,0.468056,0.0953125,0.799074,0.884013
1303,0,0.219141,0.466204,0.0950521,0.797222,0.923501
1304,0,0.219401,0.466204,0.0940104,0.79537,0.921652
1305,0,0.219661,0.466667,0.0934896,0.794444,0.931639
1306,0,0.219401,0.466204,0.0934896,0.79537,0.940569
1307,0,0.219792,0.466667,0.0932292,0.794444,0.949754
1308,0,0.219792,0.466667,0.0927083,0.794444,0.952746
1309,0,0.219792,0.467593,0.0921875,0.796296,0.957018
1310,0,0.219792,0.468519,0.0916667,0.798148,0.960004
1311,0,0.219401,0.468056,0.0914062,0.799074,0.957711
1312,0,0.219401,0.469907,0.0908854,0.802778,0.956504
1313,0,0.219531,0.47037,0.0901042,0.803704,0.949252
1314,0,0.219792,0.471296,0.0895833,0.805556,0.952192
1315,0,0.219922,0.471759,0.0893229,0.808333,0.930086
1316,0,0.220313,0.472222,0.0890625,0.807407,0.934736
1317,0,0.220573,0.472222,0.0885417,0.805556,0.936346
1318,0,0.220703,0.471759,0.0882813,0.80463,0.93794
1319,0,0.221224,0.472685,0.0872396,0.806481,0.941757
1320,0,0.221224,0.472685,0.0877604,0.808333,0.937793
1321,0,0.221094,0.472222,0.0890625,0.807407,0.924849
1322,0,0.220833,0.473148,0.0895833,0.807407,0.935107
1323,0,0.220703,0.474537,0.0898438,0.808333,0.935935
1324,0,0.220833,0.474074,0.0895833,0.807407,0.935955
1325,0,0.220833,0.475,0.0895833,0.809259,0.9374
1326,0,0.220833,0.475,0.0890625,0.807407,0.948512
1327,0,0.221354,0.475,0.0885417,0.809259,0.945035
1328,0,0.221224,0.473148,0.0888021,0.807407,0.942933
1329,0,0.221615,0.473148,0.0880208,0.805556,0.947526
1330,0,0.221484,0.473611,0.0882813,0.80463,0.945532
1331,0,0.221615,0.474074,0.0885417,0.803704,0.952435
1332,0,0.221615,0.472222,0.0885417,0.801852,0.953788
1333,0,0.221484,0.471759,0.0888021,0.802778,0.947818
1334,0,0.221224,0.472222,0.0893229,0.803704,0.941092
1335,0,0.221484,0.472685,0.0888021,0.802778,0.945643
1336,0,0.221484,0.471759,0.0882813,0.80463,0.945499
1337,0,0.221615,0.471296,0.0880208,0.803704,0.949039
1338,0,0.221615,0.471296,0.0880208,0.803704,0.94667
1339,0,0.221745,0.470833,0.0877604,0.802778,0.943916
1340,0,0.221745,0.47037,0.0877604,0.803704,0.938509
1341,0,0.221484,0.47037,0.0877604,0.805556,0.94091
1342,0,0.221484,0.469907,0.0877604,0.806481,0.935584
1343,0,0.221745,0.469907,0.0872396,0.80463,0.939029
1344,0,0.221615,0.469444,0.0875,0.803704,0.932476
1345,0,0.221484,0.468056,0.0882813,0.80463,0.922127
1346,0,0.221484,0.46713,0.0882813,0.80463,0.905623
1347,0,0.221745,0.46713,0.0882813,0.802778,0.901173
1348,0,0.221224,0.466667,0.0888021,0.801852,0.910424
1349,0,0.221094,0.467593,0.0885417,0.805556,0.899573
1350,0,0.220573,0.468056,0.0895833,0.806481,0.891117
1351,0,0.220443,0.468981,0.0898438,0.808333,0.874572
1352,0,0.220182,0.467593,0.0903646,0.805556,0.853729
1353,0,0.219922,0.467593,0.0903646,0.807407,0.833228
1354,0,0.220182,0.465741,0.0903646,0.801852,0.872034
1355,0,0.220313,0.465741,0.0901042,0.8,0.89621
1356,0,0.220573,0.465278,0.0901042,0.799074,0.901336
1357,0,0.220573,0.464352,0.0901042,0.799074,0.91703
1358,0,0.220703,0.463889,0.0898438,0.796296,0.913912
1359,0,0.220573,0.463426,0.0901042,0.793519,0.922202
1360,0,0.220833,0.462037,0.0901042,0.790741,0.916831
1361,0,0.220833,0.461574,0.0901042,0.789815,0.912176
1362,0,0.220964,0.461574,0.0898438,0.789815,0.917104
1363,0,0.220964,0.461574,0.0898438,0.791667,0.916616
1364,0,0.220964,0.462037,0.0898438,0.790741,0.917668
1365,0,0.220703,0.462037,0.0898438,0.792593,0.910996
1366,0,0.220703,0.461111,0.0898438,0.790741,0.914533
1367,0,0.220964,0.461574,0.0898438,0.789815,0.91499
1368,0,0.220833,0.462037,0.0901042,0.790741,0.912867
1369,0,0.220964,0.462963,0.0898438,0.792593,0.92224
1370,0,0.220833,0.462037,0.0895833,0.792593,0.924266
1371,0,0.221094,0.462963,0.0895833,0.792593,0.922255
1372,0,0.221094,0.4625,0.0895833,0.791667,0.921504
1373,0,0.221224,0.462037,0.0893229,0.790741,0.926456
1374,0,0.221224,0.461574,0.0888021,0.791667,0.925278
1375,0,0.221224,0.461574,0.0888021,0.791667,0.920447
1376,0,0.221224,0.461574,0.0888021,0.789815,0.924755
1377,0,0.221354,0.461111,0.0885417,0.788889,0.920529
1378,0,0.221354,0.460648,0.0885417,0.789815,0.915147
1379,0,0.221354,0.461111,0.0885417,0.790741,0.919904
1380,0,0.221484,0.460648,0.0888021,0.787963,0.922978
1381,0,0.221224,0.460648,0.0888021,0.786111,0.9191
1382,0,0.221094,0.460648,0.0890625,0.787963,0.925625
1383,0,0.220833,0.460648,0.0895833,0.789815,0.922511
1384,0,0.220703,0.460185,0.0898438,0.790741,0.91241
1385,0,0.220833,0.459259,0.0901042,0.788889,0.907317
1386,0,0.220833,0.459259,0.0895833,0.790741,0.905669
1387,0,0.220964,0.459259,0.0893229,0.790741,0.901597
1388,0,0.220964,0.458333,0.0898438,0.788889,0.904447
1389,0,0.220964,0.459259,0.0898438,0.790741,0.906286
1390,0,0.221224,0.458796,0.0898438,0.789815,0.913816
1391,0,0.221224,0.459259,0.0898438,0.790741,0.908621
1392,0,0.221094,0.460185,0.0895833,0.792593,0.915326
1393,0,0.220964,0.45787,0.0898438,0.787963,0.926843
1394,0,0.221094,0.45787,0.0901042,0.787963,0.931724
1395,0,0.221224,0.459259,0.0898438,0.790741,0.921138
1396,0,0.220703,0.462037,0.0893229,0.794444,0.924367
1397,0,0.220833,0.462037,0.0890625,0.794444,0.928896
1398,0,0.220964,0.461574,0.0888021,0.793519,0.923579
1399,0,0.221224,0.459259,0.0898438,0.790741,0.921996
1400,0,0.221094,0.456944,0.0901042,0.786111,0.923843
1401,0,0.220964,0.456944,0.0908854,0.789815,0.927476
1402,0,0.221094,0.457407,0.0911458,0.792593,0.936868
1403,0,0.220964,0.457407,0.0919271,0.790741,0.933924
1404,0,0.221354,0.458333,0.0916667,0.790741,0.933842
1405,0,0.221875,0.456944,0.0916667,0.787963,0.931382
1406,0,0.221875,0.459259,0.0911458,0.792593,0.934446
1407,0,0.222005,0.456481,0.0914062,0.788889,0.936355
1408,0,0.221745,0.455093,0.0914062,0.787963,0.927506
1409,0,0.221745,0.455556,0.0914062,0.787037,0.93467
1410,0,0.221745,0.456481,0.0914062,0.788889,0.933683
1411,0,0.221615,0.456481,0.0916667,0.788889,0.932517
1412,0,0.221354,0.456481,0.0921875,0.788889,0.931361
1413,0,0.221094,0.456019,0.0921875,0.789815,0.926854
1414,0,0.220964,0.456481,0.0919271,0.790741,0.930336
1415,0,0.221354,0.458796,0.0911458,0.791667,0.940937
1416,0,0.221745,0.459259,0.0908854,0.792593,0.940623
1417,0,0.222005,0.460185,0.0914062,0.792593,0.938917
1418,0,0.222005,0.459722,0.0914062,0.791667,0.937182
1419,0,0.222005,0.460185,0.0908854,0.790741,0.933971
1420,0,0.222005,0.460648,0.0908854,0.793519,0.935719
1421,0,0.222135,0.460648,0.0901042,0.791667,0.941276
1422,0,0.222135,0.461111,0.0901042,0.794444,0.933236
1423,0,0.222526,0.461111,0.0903646,0.794444,0.924896
1424,0,0.222526,0.460648,0.0903646,0.793519,0.934311
1425,0,0.223047,0.460185,0.0903646,0.794444,0.942591
1426,0,0.223307,0.460648,0.0898438,0.797222,0.941692
1427,0,0.223698,0.461111,0.0901042,0.798148,0.938388
1428,0,0.223698,0.461574,0.090625,0.800926,0.939578
1429,0,0.223698,0.461574,0.0901042,0.80463,0.951712
1430,0,0.223698,0.461111,0.0901042,0.801852,0.945218
1431,0,0.223958,0.461111,0.0911458,0.8,0.947113
1432,0,0.223828,0.460648,0.0914062,0.800926,0.947144
1433,0,0.224219,0.459722,0.0916667,0.800926,0.955034
1434,0,0.224219,0.459722,0.0921875,0.802778,0.954889
1435,0,0.224349,0.459722,0.0924479,0.802778,0.951205
1436,0,0.22487,0.458333,0.0919271,0.801852,0.945646
1437,0,0.22526,0.45787,0.0916667,0.800926,0.946556
1438,0,0.225,0.458333,0.0921875,0.801852,0.943402
1439,0,0.22526,0.459259,0.0921875,0.801852,0.941404
1440,0,0.225391,0.460185,0.0924479,0.805556,0.946709
1441,0,0.225521,0.458796,0.0916667,0.80463,0.948919
1442,0,0.225521,0.460185,0.0916667,0.805556,0.950816
1443,0,0.225651,0.460185,0.0914062,0.807407,0.950984
1444,0,0.225651,0.4625,0.0914062,0.812037,0.950283
1445,0,0.225781,0.4625,0.0916667,0.813889,0.948945
1446,0,0.225781,0.461574,0.0921875,0.812037,0.941702
1447,0,0.225911,0.460185,0.0924479,0.811111,0.933148
1448,0,0.225781,0.458796,0.0921875,0.810185,0.929345
1449,0,0.225781,0.457407,0.0927083,0.809259,0.920558
1450,0,0.226432,0.456944,0.0919271,0.808333,0.931742
1451,0,0.226562,0.456944,0.0921875,0.808333,0.924293
1452,0,0.226562,0.455556,0.0921875,0.809259,0.923569
1453,0,0.226562,0.453241,0.0921875,0.808333,0.928358
1454,0,0.226562,0.453704,0.0921875,0.809259,0.918472
1455,0,0.226432,0.454167,0.0924479,0.810185,0.91811
1456,0,0.226432,0.453704,0.0924479,0.811111,0.919276
1457,0,0.226562,0.454167,0.0921875,0.812037,0.926057
1458,0,0.226172,0.455093,0.0924479,0.813889,0.93096
1459,0,0.226172,0.455093,0.0929687,0.815741,0.927203
1460,0,0.226042,0.456481,0.0927083,0.82037,0.926729
1461,0,0.226302,0.456481,0.0927083,0.82037,0.91519
1462,0,0.226172,0.456019,0.0929687,0.821296,0.918769
1463,0,0.226302,0.455093,0.0932292,0.821296,0.922586
1464,0,0.226302,0.455556,0.09375,0.822222,0.917593
1465,0,0.226562,0.454167,0.09375,0.821296,0.903583
1466,0,0.226823,0.453704,0.09375,0.82037,0.894318
1467,0,0.226823,0.453704,0.09375,0.822222,0.894317
1468,0,0.226823,0.453704,0.09375,0.822222,0.886631
1469,0,0.226953,0.452778,0.0945313,0.822222,0.869866
1470,0,0.226953,0.452315,0.0945313,0.823148,0.885749
1471,0,0.227214,0.451389,0.0950521,0.821296,0.893833
1472,0,0.227344,0.450463,0.0953125,0.821296,0.903497
1473,0,0.227344,0.45,0.0958333,0.822222,0.891857
1474,0,0.227344,0.451389,0.0958333,0.821296,0.899848
1475,0,0.227474,0.450926,0.0960938,0.824074,0.902876
1476,0,0.227474,0.450463,0.0966146,0.825,0.902185
1477,0,0.227604,0.450463,0.0963542,0.826852,0.922812
1478,0,0.227734,0.452315,0.0966146,0.830556,0.910143
1479,0,0.227865,0.451389,0.096875,0.828704,0.899772
1480,0,0.227995,0.451852,0.0971354,0.831481,0.898891
1481,0,0.228125,0.453241,0.0973958,0.832407,0.871971
1482,0,0.228125,0.454167,0.0973958,0.836111,0.886663
1483,0,0.228776,0.448611,0.0971354,0.828704,0.873098
1484,0,0.229427,0.445833,0.096875,0.825,0.860807
1485,0,0.229818,0.44537,0.0966146,0.824074,0.859679
1486,0,0.230208,0.446759,0.096875,0.825,0.873155
1487,0,0.230078,0.447685,0.0971354,0.826852,0.862239
1488,0,0.230469,0.447222,0.096875,0.824074,0.830281
1489,0,0.231641,0.443519,0.0960938,0.818519,0.825905
1490,0,0.231901,0.443056,0.0960938,0.817593,0.832158
1491,0,0.231901,0.44537,0.0960938,0.822222,0.846661
1492,0,0.232161,0.445833,0.0955729,0.823148,0.825287
1493,0,0.232682,0.444907,0.0950521,0.821296,0.79322
1494,0,0.233594,0.444907,0.09375,0.819444,0.825342
1495,0,0.233594,0.444907,0.0942708,0.825,0.794572
1496,0,0.234375,0.444444,0.0947917,0.822222,0.806456
1497,0,0.234505,0.444907,0.0945313,0.825,0.81912
1498,0,0.234375,0.443981,0.0947917,0.825,0.835722
1499,0,0.234245,0.443981,0.0950521,0.826852,0.817465
1500,0,0.234505,0.444907,0.0950521,0.828704,0.852306
1501,0,0.235026,0.444444,0.0945313,0.825926,0.869104
1502,0,0.234896,0.44537,0.0947917,0.827778,0.86092
